,bullishness,fract_negative,fract_positive,n_negative,n_positive,n_token,rating,style
77,0.1112,0.030303030303030304,0.15151515151515152,1,5,33,3.53,American Pale Lager
78,0.0367,0.01904761904761905,0.05714285714285714,6,18,315,3.9,American Pale Lager
79,-0.066,0.09302325581395349,0.023255813953488372,4,1,43,2.83,American Pale Lager
80,0.0396,0.0,0.04040404040404041,0,8,198,2.61,American Pale Lager
81,0.1206,0.0,0.1282051282051282,0,5,39,4.11,American Pale Lager
82,-0.0267,0.05555555555555555,0.027777777777777776,2,1,36,3.37,American Pale Lager
83,-0.014,0.07462686567164178,0.05970149253731343,5,4,67,3.15,American Pale Lager
84,0.0247,0.05263157894736842,0.07894736842105263,2,3,38,3.13,American Pale Lager
85,0.0,0.019230769230769232,0.019230769230769232,1,1,52,3.04,American Pale Lager
86,0.0476,0.012345679012345678,0.06172839506172839,1,5,81,3.43,American Pale Lager
87,0.0397,0.0136986301369863,0.0547945205479452,1,4,73,3.7,American Pale Lager
88,0.022,0.058823529411764705,0.08235294117647059,5,7,85,3.54,American Pale Lager
89,0.0211,0.044444444444444446,0.06666666666666667,2,3,45,2.82,American Pale Lager
90,0.1625,0.0,0.17647058823529413,0,6,34,3.26,American Pale Lager
91,0.0601,0.018018018018018018,0.08108108108108109,2,9,111,3.5,American Pale Lager
92,0.0292,0.018072289156626505,0.04819277108433735,3,8,166,2.81,American Pale Lager
93,0.0251,0.02608695652173913,0.05217391304347826,3,6,115,3.57,American Pale Lager
94,0.0267,0.027777777777777776,0.05555555555555555,1,2,36,2.75,American Pale Lager
95,0.0811,0.0,0.08450704225352113,0,6,71,3.37,American Pale Lager
96,0.0513,0.02702702702702703,0.08108108108108109,1,3,37,3.13,American Pale Lager
97,0.0198,0.02040816326530612,0.04081632653061224,1,2,49,2.8,American Pale Lager
98,0.0,0.04878048780487805,0.04878048780487805,2,2,41,1.79,American Pale Lager
99,0.0445,0.047619047619047616,0.09523809523809523,1,2,21,3.77,American Pale Lager
100,0.0059,0.03680981595092025,0.04294478527607362,6,7,163,3.75,American Pale Lager
101,0.0991,0.02127659574468085,0.1276595744680851,1,6,47,3.51,American Pale Lager
102,0.0202,0.020833333333333332,0.041666666666666664,3,6,144,3.69,American Pale Lager
103,0.0159,0.02459016393442623,0.040983606557377046,3,5,122,3.18,American Pale Lager
104,0.076,0.05555555555555555,0.1388888888888889,2,5,36,3.72,American Pale Lager
105,0.0,0.04672897196261682,0.04672897196261682,5,5,107,3.34,American Pale Lager
106,0.0,0.02702702702702703,0.02702702702702703,1,1,37,4.02,American Pale Lager
107,0.016,0.03333333333333333,0.05,2,3,60,3.06,American Pale Lager
108,0.0741,0.05405405405405406,0.13513513513513514,2,5,37,3.06,American Pale Lager
109,0.0,0.05263157894736842,0.05263157894736842,2,2,38,3.25,American Pale Lager
110,0.0387,0.0410958904109589,0.0821917808219178,3,6,73,3.68,American Pale Lager
111,-0.0247,0.05128205128205128,0.02564102564102564,2,1,39,3.1,American Pale Lager
112,0.0531,0.018518518518518517,0.07407407407407407,2,8,108,3.15,American Pale Lager
113,0.0201,0.020766773162939296,0.04153354632587859,13,26,626,3.67,American Pale Lager
114,0.0,0.03896103896103896,0.03896103896103896,3,3,77,3.26,American Pale Lager
115,0.0308,0.0,0.03125,0,1,32,2.2,American Pale Lager
116,0.0253,0.05405405405405406,0.08108108108108109,2,3,37,3.53,American Pale Lager
117,0.1744,0.0,0.19047619047619047,0,8,42,3.31,American Pale Lager
118,0.071,0.0,0.07352941176470588,0,5,68,3.23,American Pale Lager
119,0.0336,0.011538461538461539,0.046153846153846156,3,12,260,2.37,American Pale Lager
120,0.1823,0.0,0.2,0,7,35,3.25,American Pale Lager
121,-0.0138,0.057971014492753624,0.043478260869565216,4,3,69,3.07,American Pale Lager
122,0.0494,0.0,0.05063291139240506,0,4,79,3.57,American Pale Lager
123,0.0392,0.01809954751131222,0.058823529411764705,4,13,221,3.88,American Pale Lager
124,0.0406,0.03048780487804878,0.07317073170731707,5,12,164,3.7,American Pale Lager
125,0.1054,0.0,0.1111111111111111,0,3,27,4.67,American Pale Lager
126,0.0417,0.021739130434782608,0.06521739130434782,1,3,46,3.76,American Pale Lager
127,0.0834,0.0,0.08695652173913043,0,2,23,3.84,American Pale Lager
128,0.0,0.027777777777777776,0.027777777777777776,2,2,72,2.57,American Pale Lager
129,0.066,0.023255813953488372,0.09302325581395349,1,4,43,3.15,American Pale Lager
130,0.0476,0.025,0.075,1,3,40,4.0,American Pale Lager
131,0.0128,0.03333333333333333,0.04666666666666667,5,7,150,2.99,American Pale Lager
132,0.0625,0.03333333333333333,0.1,2,6,60,3.45,American Pale Lager
133,-0.0225,0.046511627906976744,0.023255813953488372,2,1,43,2.85,American Pale Lager
134,0.0,0.02631578947368421,0.02631578947368421,1,1,38,3.5,American Pale Lager
135,0.0,0.02877697841726619,0.02877697841726619,4,4,139,3.7,American Pale Lager
136,0.0364,0.058823529411764705,0.09803921568627451,3,5,51,3.46,American Pale Lager
137,0.1178,0.0,0.125,0,5,40,3.0,American Pale Lager
138,0.0,0.03125,0.03125,3,3,96,2.62,American Pale Lager
139,0.078,0.0,0.08108108108108109,0,3,37,3.0,American Pale Lager
140,0.0645,0.029411764705882353,0.09803921568627451,3,10,102,3.47,American Pale Lager
141,0.0817,0.0,0.0851063829787234,0,4,47,4.47,American Pale Lager
142,0.0619,0.044444444444444446,0.1111111111111111,2,5,45,3.9,American Pale Lager
143,0.0741,0.0,0.07692307692307693,0,3,39,4.48,American Pale Lager
144,0.0606,0.026737967914438502,0.09090909090909091,5,17,187,4.34,American Pale Lager
145,0.022,0.022727272727272728,0.045454545454545456,2,4,88,3.85,American Pale Lager
146,0.0678,0.0,0.07017543859649122,0,4,57,4.08,American Pale Lager
147,0.055,0.023121387283236993,0.08092485549132948,8,28,346,4.1,American Pale Lager
148,0.0436,0.026143790849673203,0.0718954248366013,4,11,153,3.79,American Pale Lager
149,0.048,0.03389830508474576,0.0847457627118644,2,5,59,4.26,American Pale Lager
150,0.0351,0.0,0.03571428571428571,0,2,56,3.86,American Pale Lager
151,0.0432,0.021377672209026127,0.0665083135391924,9,28,421,4.19,American Pale Lager
152,0.0474,0.019801980198019802,0.06930693069306931,2,7,101,4.09,American Pale Lager
153,0.0678,0.017857142857142856,0.08928571428571429,1,5,56,3.92,American Pale Lager
154,0.0414,0.0070921985815602835,0.04964539007092199,1,7,141,4.47,American Pale Lager
155,0.0398,0.0,0.04065040650406504,0,5,123,4.4,American Pale Lager
156,0.0189,0.01948051948051948,0.03896103896103896,3,6,154,4.24,American Pale Lager
157,0.04,0.020833333333333332,0.0625,1,3,48,4.54,American Pale Lager
158,0.0241,0.05128205128205128,0.07692307692307693,2,3,39,4.06,American Pale Lager
159,0.0199,0.013605442176870748,0.034013605442176874,2,5,147,4.24,American Pale Lager
160,0.0924,0.0,0.0967741935483871,0,3,31,4.34,American Pale Lager
161,0.0165,0.07142857142857142,0.08928571428571429,4,5,56,3.75,American Pale Lager
162,0.0629,0.04054054054054054,0.10810810810810811,3,8,74,4.38,American Pale Lager
163,0.1128,0.0,0.11940298507462686,0,8,67,4.1,American Pale Lager
164,0.0632,0.0,0.06521739130434782,0,3,46,4.28,American Pale Lager
165,0.0392,0.02459016393442623,0.06557377049180328,3,8,122,4.26,American Pale Lager
