,topic1,topic2,style
0,0.009879380958202637,0.005181598322700878,Porter
1,0.028056484894361303,0.0,Porter
2,0.024723725659494565,0.0,Porter
3,0.02506049465730649,0.0037748374163946805,Porter
4,0.016336804450057023,0.0,Porter
5,0.024579424801658818,0.0,Porter
6,0.013434441583805586,0.007439405379853653,Porter
7,0.019180118936509866,0.0,Porter
8,0.019044321437938834,0.0,Porter
9,0.032886647067740984,0.0,Porter
10,0.022392073808916373,2.6289864288387524e-05,Porter
11,0.015740738699202023,0.001251726836046632,Porter
12,0.02246805900292666,0.0,Porter
13,0.02480595169886777,0.00023702397698114176,Porter
14,0.023185933189870615,0.004514732619358659,Porter
15,0.02303522056324631,0.0,Porter
16,0.002032100448389686,0.0015884045127053344,Porter
17,0.019537413128372483,0.0009631743767251616,Porter
18,0.008045362363803345,0.008687659965842908,Porter
19,0.018552507051916016,0.006025163549690592,Porter
20,0.0192511930809264,0.004292084109460292,Porter
21,0.003772927503376872,0.003891461100444748,Porter
22,0.005437016611218869,0.007688243713746671,Porter
23,0.017696006926765144,0.0,Porter
24,0.031587915875810585,0.0,Porter
25,0.022188033137988037,0.0,Porter
26,0.03918454241700391,0.003999151404824114,Porter
27,0.028178727455194504,0.0,Porter
28,0.0246565080353719,0.0,Porter
29,0.03796049407581704,0.0,Porter
30,0.02235736531641273,0.003294109657588146,Porter
31,0.01590478409934318,0.011729618443990316,Porter
32,0.016941960758253514,0.011878527266345671,Porter
33,0.0324153661144151,0.0,Porter
34,0.02010628273477135,0.0,Porter
35,0.017792151560494324,0.003978608259662005,Porter
36,0.01005929054393897,0.0,Porter
37,0.04397577071063983,0.0,Porter
38,0.018732386981489345,0.010723156471519604,Porter
39,0.033003750541874266,0.0,Porter
40,0.019159566289381185,0.009973474830194558,Porter
41,0.028176610692294508,0.0,Porter
42,0.013296885325911638,0.0,Porter
43,0.021736595234985657,0.008710293251090627,Porter
44,0.02107292608646147,0.005417406800683988,Porter
45,0.01888020933701458,0.0,Porter
46,0.015257935251147565,0.009506706232966476,Porter
47,0.022241553865523782,0.0,Porter
48,0.02333251861982931,0.0,Porter
49,0.01654802157650606,0.0,Porter
50,0.019314758404332426,0.006492922554632347,Porter
51,0.03352473995841668,0.0,Porter
52,0.02728842237789889,0.003126119933639659,Porter
53,0.022666242328516707,0.0,Porter
54,0.002065562897950232,0.002867255652403188,Porter
55,0.030897925345653166,0.0,Porter
56,0.01522810199289439,0.0022336730639836394,Porter
57,0.027320997624288728,0.00241819784258761,Porter
58,0.018392878516960854,0.00610745998748578,Porter
59,0.03696408199401145,0.004795145095568416,Porter
60,0.034456383019177,0.0,Porter
61,0.024079563117878566,0.0014126507830063586,Porter
62,0.022140430215098032,0.0,Porter
63,0.009173988393469161,0.0026635126341271512,Porter
64,0.02707635796311734,0.0,Porter
65,0.015705435347188133,0.0,Porter
66,0.024427901004683738,0.0031907228802973845,Porter
67,0.030242576323892174,0.0,Porter
68,0.03250883275593557,0.0,Porter
69,0.01384197552242183,0.0,Porter
70,0.026867463388337544,0.0022167185736636148,Porter
71,0.017184492449085424,0.004725212490138139,Porter
72,0.0037420689113171314,0.0030885412439859822,Porter
73,0.02033136089413057,0.0008828081756635475,Porter
74,0.02232748949693336,0.0020016008297235642,Porter
75,0.013890155130142095,0.0007349188711843499,Porter
76,0.02239678845660767,0.0,Porter
77,0.024826145043623585,0.0,Porter
78,0.02473219186281689,0.004251494472707324,Porter
79,0.009091736939605825,0.003595937038199317,Porter
80,0.02519919092556576,0.0,Porter
81,0.00998927393066197,0.010904453408692057,Porter
82,0.01500973461409703,0.009770810125716126,Porter
83,0.02126783096939062,0.0,Porter
84,0.011137386808657172,0.0031920931537681085,Porter
85,0.040034472911154965,0.0,Porter
86,0.028080489767391102,0.011139134069191621,Porter
87,0.029865866456072945,0.0,Porter
88,0.01932259123829989,0.012098351217188353,Porter
89,0.008796953533514389,0.004450628970631242,Porter
90,0.024219332486819747,0.0007735440733237785,Porter
91,0.02138450169960641,0.0,Porter
92,0.0229193282057506,0.00014756903434609661,Porter
93,0.016928251854757055,0.0,Porter
94,0.03529113302081776,0.0,Porter
95,0.026549939702129828,0.00271633020094058,Porter
96,0.02882207576489675,0.0077831682211629664,Porter
97,0.013904298783896128,0.0014007006871681036,Porter
98,0.025866713364245758,0.0,Porter
99,0.023315941853813082,0.0,Porter
100,0.034505214930755854,0.0,Porter
101,0.015834437266244807,0.009104280702687702,Porter
102,0.007481194978462193,0.0,Porter
103,0.02275570316534332,0.0,Porter
104,0.004217493225462863,0.005207911423307111,Porter
105,0.02588513768652845,0.0059420059647356735,Porter
106,0.015362436889503067,0.011586400297294052,Porter
107,0.01655521681633694,0.011190045610379708,Porter
108,0.009459435230133685,0.0046225839950616455,Porter
109,0.028501396168864386,0.002372221105354256,Porter
110,0.019226060145979905,0.0,Porter
111,0.0235351027404595,0.0,Porter
112,0.012949965541386554,0.00274626925990102,Porter
113,0.026997686531371464,0.0,Porter
114,0.02521446536986749,0.00628029206692788,Porter
115,0.04391972441279966,0.0,Porter
116,0.01028680127069028,0.005877122867961443,Porter
