top_topic,American Pale Lager,American Porter
0,0.5366866635902169,0.4633133364097831
1,0.8728913299333072,0.12710867006669282
2,0.003606516602412635,0.9963934833975874
3,0.31162136832239923,0.6883786316776007
4,0.8832163369495852,0.11678366305041481
